AT90,DTCO,RHOZ,RO,LATITUD,TOC_COE,COE_IC_INF,COE_IC_SUP,TOC_CUERVO,CUERVO_IC_SUP,CUERVO_IC_INF,DEPTH
126.75059,86.0985,2.4267,1.19,-38.7715,3.35733,1.90665,4.97189,4.60006,6.91961,2.28051,2103.05
83.94986,89.8739,2.4076,1.19,-38.7715,3.67597,2.19609,5.32303,5.0186,7.33827,2.69892,2103.65
72.65742,91.1282,2.4591,1.19,-38.7715,3.47112,2.01056,5.09668,4.05939,6.3789,1.73989,2103.81
144.63054,85.0394,2.3828,1.19,-38.7715,3.91148,2.40032,5.59335,5.4408,7.76068,3.12093,2104.68
70.51313,90.7092,2.3283,1.19,-38.7715,4.96149,3.3485,6.7567,6.58856,8.90938,4.26775,2105.98
30.51828,89.6647,2.4485,1.19,-38.7715,3.9681,2.44703,5.66102,3.91508,6.23459,1.59557,2106.65
37.94548,64.0811,2.6593,1.42,-38.6713,0.0,0.0,0.44326,0.0,1.4542,0.0,2107.692
73.15095,88.9715,2.3794,1.19,-38.7715,3.76984,2.27893,5.42919,5.48356,7.80346,3.16366,2107.81
38.63136,58.7237,2.7549,1.15,-38.2228,0.0,0.0,0.0,0.0,0.0,0.0,2129.6376
11.59445,71.0271,2.5991,1.42,-38.6713,0.44938,0.0,1.56103,0.0674,2.39051,0.0,2137.7148
15.75796,70.0811,2.63,1.42,-38.6713,0.04374,0.0,1.09555,0.0,1.93561,0.0,2143.0488
700.00316,51.9229,2.6858,1.42,-38.6713,0.0,0.0,0.0,0.0,1.36672,0.0,2184.8064
45.23036,56.1285,2.6726,1.42,-38.6713,0.0,0.0,0.37743,0.0,0.91903,0.0,2191.6644
35.50586,55.5484,2.676,1.15,-38.2228,0.0,0.0,0.02956,0.0,0.76263,0.0,2200.8084
215.39221,55.413,2.6414,1.42,-38.6713,0.0,0.0,0.66169,0.0,1.86561,0.0,2234.184
10.855,62.2885,2.6681,1.15,-38.2228,0.0,0.0,0.0,0.0,0.83933,0.0,2236.6224
20.64619,56.2995,2.6908,1.15,-38.2228,0.0,0.0,0.0,0.0,0.39988,0.0,2242.4136
351.53616,50.7807,2.7456,1.27,-38.2673,0.0,0.0,0.0,0.0,0.19118,0.0,2248.8144
289.14121,50.902,2.7266,1.27,-38.2673,0.0,0.0,0.0,0.0,0.41955,0.0,2249.2716
17.87804,68.6718,2.6316,1.03,-37.4194,0.0,0.0,0.97712,0.0,1.88165,0.0,2254.6056
11.06802,78.7552,2.6105,1.03,-37.4194,0.25146,0.0,1.33485,0.23564,2.55846,0.0,2256.4344
6.12745,76.6256,2.6416,1.55,-38.2219,0.03886,0.0,1.08991,0.0,1.76772,0.0,2267.1024
10.55529,69.2347,2.7722,2.19,-38.0233,0.0,0.0,0.0,0.0,0.0,0.0,2291.334
7.33314,80.3184,2.6501,2.19,-38.0233,0.0,0.0,0.38883,0.0,1.86495,0.0,2302.4592
17.46787,80.093,2.7514,2.19,-38.0233,0.0,0.0,0.0,0.0,0.57248,0.0,2309.622
20.10481,71.7045,2.6344,1.42,-38.6713,0.0,0.0,0.69985,0.0,2.01842,0.0,2321.6616
145.89822,84.0202,2.5098,1.15,-38.2228,2.20715,0.86272,3.70348,3.01616,5.33593,0.69638,2330.87
35.56313,92.6847,2.4057,1.15,-38.2228,3.32095,1.87353,4.93189,4.92168,7.24132,2.60204,2331.89
42.10174,90.0076,2.4344,1.15,-38.2228,3.04487,1.62583,4.62423,4.29709,6.6166,1.97758,2332.09
184.09839,92.1882,2.4026,1.15,-38.2228,3.47331,2.01256,5.09908,5.47204,7.79193,3.15214,2333.87
198.85202,93.4727,2.4129,1.15,-38.2228,3.46015,2.00054,5.08467,5.35881,7.67863,3.03898,2334.59
28.22279,84.6642,2.4641,1.15,-38.2228,2.91393,1.50491,4.48213,3.36101,5.68065,1.04138,2338.18
71.75134,79.2188,2.5194,1.15,-38.2228,1.54016,0.35055,2.86417,2.39373,4.71389,0.07356,2339.33
51.82628,83.6982,2.4881,1.15,-38.2228,2.44423,1.06507,3.9792,3.06626,5.38601,0.7465,2340.45
34.1468,83.4714,2.4864,1.15,-38.2228,1.75107,0.5056,3.13724,2.95568,5.27549,0.63588,2341.09
7.2124,74.4456,2.6047,1.55,-38.2219,0.56201,0.0,1.68877,0.0,2.31365,0.0,2341.1688
31.09066,87.8168,2.4736,1.15,-38.2228,3.53843,2.07183,5.17071,3.36804,5.68767,1.0484,2341.62
13.99007,85.0862,2.4959,1.15,-38.2228,2.08551,0.76298,3.55746,2.58272,4.90275,0.26269,2343.16
17.83857,85.9367,2.4554,1.15,-38.2228,2.52014,1.13565,4.06104,3.43969,5.7593,1.12008,2344.63
13.48218,66.0794,2.641,1.55,-38.2219,0.0,0.0,0.93732,0.0,1.51824,0.0,2344.674
14.25148,82.9103,2.51,1.15,-38.2228,1.55855,0.36417,2.88787,2.23199,4.55228,0.0,2345.11
19.5916,74.8536,2.5487,1.15,-38.2228,1.08021,0.0,2.28679,1.26723,3.58853,0.0,2345.57
26.82255,71.0237,2.5703,1.15,-38.2228,1.07685,0.0,2.2827,0.81234,3.13425,0.0,2346.03
33.28434,79.0722,2.5249,1.15,-38.2228,1.48526,0.30969,2.79364,2.04967,4.37012,0.0,2346.9
17.29179,65.4184,2.6441,1.27,-38.2673,0.0,0.0,0.87837,0.0,1.51462,0.0,2352.1416
205.15401,55.0909,2.7623,1.42,-38.6713,0.0,0.0,0.0,0.0,0.0,0.0,2352.5988
